count,Set,Suit,Number,Faction,Name,card,type,Cost,Health,Power,Size,Deploy,Trigger,Effect,Attribution,Designer,Source
1,S4A,C,A,scions of krubbish,prophet buer,Officer,,0,3,,,"Discard a structure card: Rummage, then draw a card. Activate only once per turn.",,You may deploy @[faction] cards.,Microsoft Copilot,Print to Play,
1,S4A,C,2,scions of krubbish,eyes of krubbish,Unit,Light Recon,0,6,3,3,Deal one damage to this: Untap this. Activate only if a junkyard is in your discard pile.,,,Microsoft Copilot,Print to Play,
1,S4A,C,3,scions of krubbish,eyes of krubbish,Unit,LIght Recon,0,6,3,3,Deal one damage to this: Untap this. Activate only if a junkyard is in your discard pile.,,,Microsoft Copilot,Print to Play,
1,S4A,C,4,scions of krubbish,eyes of krubbish,Unit,Light Recon,0,6,3,3,Deal one damage to this: Untap this. Activate only if a junkyard is in your discard pile.,,,Microsoft Copilot,Print to Play,
1,S4A,C,5,scions of krubbish,fanatics of krubbish,Unit,Squad,0,4,2,2,"This unit can target anything non-critical as though there were no defending units. <i>(build zones, the HQ deck, and the discard pile are critical.)</i>",,,Microsoft Copilot,Print to Play,
1,S4A,C,6,scions of krubbish,fanatics of krubbish,Unit,Squad,0,4,2,2,"This unit can target anything non-critical as though there were no defending units. <i>(build zones, the HQ deck, and the discard pile are critical.)</i>",,,Microsoft Copilot,Print to Play,
1,S4A,C,7,scions of krubbish,fanatics of krubbish,Unit,Squad,0,4,2,2,"This unit can target anything non-critical as though there were no defending units. <i>(build zones, the HQ deck, and the discard pile are critical.)</i>",,,Microsoft Copilot,Print to Play,
1,S4A,C,8,scions of krubbish,lostlight trash pile,Structure,junkyard,0,1,,,,,,Microsoft Copilot,Print to Play,
1,S4A,C,9,scions of krubbish,lostlight trash pile,Structure,junkyard,0,1,,,,,,Microsoft Copilot,Print to Play,
1,S4A,C,10,scions of krubbish,lostlight trash pile,Structure,junkyard,0,1,,,,,,Microsoft Copilot,Print to Play,
