count,Set,card,type,Suit,Number,Color,color2,color3,Faction,Health,Power,Size,Deploy,Trigger,Effect,Attribution,Designer,Source
1,S1A,Officer,,C,A,0xb23825,0x401c13,0xf0e7e7,republic of mars,3,,,Discard a structure card: Target player discards a card. Activate only once each turn.,,,Microsoft Copilot,Print to Play,
1,S1A,Unit,Tank,C,2,0x90614D,0x404436,0xD2CFDA,jupiter collective,18,5,9,"This card must start the game in your reinforcements deck.\nWhenever this unit is attacking, all defending units must target it.",,,Microsoft Copilot,Print to Play,
1,S1A,Unit,Tank,C,3,0x90614D,0x404436,0xD2CFDA,jupiter collective,18,5,9,"This card must start the game in your reinforcements deck.\nWhenever this unit is attacking, all defending units must target it.",,,Microsoft Copilot,Print to Play,
1,S1A,Unit,Tank,C,4,0x90614D,0x404436,0xD2CFDA,jupiter collective,18,5,9,"This card must start the game in your reinforcements deck.\nWhenever this unit is attacking, all defending units must target it.",,,Microsoft Copilot,Print to Play,
1,S1A,Unit,Squad,C,5,0xb23825,0x401c13,0xf0e7e7,republic of mars,4,4,2,"As an additional cost to deploy this, discard a card.",,,Microsoft Copilot,Print to Play,
1,S1A,Unit,Squad,C,6,0xb23825,0x401c13,0xf0e7e7,republic of mars,4,4,2,"As an additional cost to deploy this, discard a card.",,,Microsoft Copilot,Print to Play,
1,S1A,Unit,Squad,C,7,0xb23825,0x401c13,0xf0e7e7,republic of mars,4,4,2,"As an additional cost to deploy this, discard a card.",,,Microsoft Copilot,Print to Play,
1,S1A,Structure,,C,8,0xb23825,0x401c13,0xf0e7e7,republic of mars,3,,,Units you control with 2@[s] have +1@[p].,,,Microsoft Copilot,Print to Play,
1,S1A,Structure,,C,9,0xb23825,0x401c13,0xf0e7e7,republic of mars,3,,,Units you control with 2@[s] have +1@[p].,,,Microsoft Copilot,Print to Play,
1,S1A,Structure,,C,10,0xb23825,0x401c13,0xf0e7e7,republic of mars,3,,,Units you control with 2@[s] have +1@[p].,,,Microsoft Copilot,Print to Play,
1,S1A,Ambush Tactic,,C,J,0xb23825,0x401c13,0xf0e7e7,republic of mars,,,,Put up to 2 unit cards with 2@[s] from your discard pile onto the battlefield.,An opponent deploys 2+ units,Draw a card.,Microsoft Copilot,Print to Play,
1,S1A,Ambush Tactic,,C,K,0xb23825,0x401c13,0xf0e7e7,republic of mars,,,,Put up to 2 unit cards with 2@[s] from your discard pile onto the battlefield.,An opponent deploys 2+ units,Draw a card.,Microsoft Copilot,Print to Play,
1,S1A,Ambush Tactic,,C,Q,0xb23825,0x401c13,0xf0e7e7,republic of mars,,,,Put up to 2 unit cards with 2@[s] from your discard pile onto the battlefield.,An opponent deploys 2+ units,Draw a card.,Microsoft Copilot,Print to Play,
1,S1A,Officer,,D,A,0x2C2C2C,0xEE7828,0xeeeeee,macrohard corp,3,,,Discard a structure card: Draw 2 cards. Activate this ability only once per turn.,,,Microsoft Copilot,Print to Play,
1,S1A,Attachment,,D,2,0x2C2C2C,0xEE7828,0xeeeeee,macrohard corp,,,,"Attaches to a unit.\nWhen this card is attached to a unit, that unit's controller draws a card.\nThis unit cannot be given orders.",,,Microsoft Copilot,Print to Play,
1,S1A,Attachment,,D,3,0x2C2C2C,0xEE7828,0xeeeeee,macrohard corp,,,,"Attaches to a unit.\nWhen this card is attached to a unit, that unit's controller draws a card.\nThis unit cannot be given orders.",,,Microsoft Copilot,Print to Play,
1,S1A,Attachment,,D,4,0x2C2C2C,0xEE7828,0xeeeeee,macrohard corp,,,,"Attaches to a unit.\nWhen this card is attached to a unit, that unit's controller draws a card.\nThis unit cannot be given orders.",,,Microsoft Copilot,Print to Play,
1,S1A,Unit,Recon,D,5,0x2C2C2C,0xEE7828,0xeeeeee,macrohard corp,6,2,4,"When this card enters the battlefield, you may draw a card.",,,Microsoft Copilot,Print to Play,
1,S1A,Unit,Recon,D,6,0x2C2C2C,0xEE7828,0xeeeeee,macrohard corp,6,2,4,"When this card enters the battlefield, you may draw a card.",,,Microsoft Copilot,Print to Play,
1,S1A,Unit,Recon,D,7,0x2C2C2C,0xEE7828,0xeeeeee,macrohard corp,6,2,4,"When this card enters the battlefield, you may draw a card.",,,Microsoft Copilot,Print to Play,
1,S1A,Structure,,D,8,0x90614D,0x404436,0xD2CFDA,jupiter collective,2,,,"At the end of turn, if you control 3+ structures, you may put a card from your reinforcements deck on top of your HQ deck.",,,Microsoft Copilot,Print to Play,
1,S1A,Structure,,D,9,0x90614D,0x404436,0xD2CFDA,jupiter collective,2,,,"At the end of turn, if you control 3+ structures, you may put a card from your reinforcements deck on top of your HQ deck.",,,Microsoft Copilot,Print to Play,
